symbol,date,open,high,low,close,volume,return_1d,ma_10,ma_20,volatility_10,momentum_20
TCS.NS,2020-08-13,3803.483178667524,3807.873898273656,3779.3612477996894,3800.0,1602364.119510381,0.0,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-14,3821.4293308373176,3850.691948022423,3805.569105812117,3825.6965732931017,1381418.5593814834,0.0067622561297635,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-17,3857.050294007833,3892.7339357413007,3804.342705085128,3860.833972120176,1815623.9128316808,0.0091845754502239,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-18,4008.3060373797753,4028.180267811322,3977.800353026708,3991.597585080055,2488181.37658203,0.0338692660456649,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-19,3990.3216468639657,4015.061650682858,3966.4936153473727,3982.639593467946,1758171.2877311304,-0.0022442121033423,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-20,4121.076831736212,4169.681207227557,4050.267340267418,4086.174020054176,1732435.3679559478,0.0259964338113947,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-21,4085.694046793081,4105.610424264862,4071.852080400813,4073.389855049537,569219.8691766106,-0.003128639392717,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-24,4193.498863011507,4214.643938687749,4164.201455354948,4193.312529363156,1467458.2481830048,0.0294405098900507,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-25,4156.837227809015,4187.850851794323,4131.74445023754,4169.880734112422,1553887.248941985,-0.005587896224442,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-26,4155.490026954454,4164.355944788693,4102.845473775472,4147.202336115572,1708387.156514902,-0.0054386202970568,4013.072719865614,4047.992243994525,0.0152966969253681,0.0577406580129526
TCS.NS,2020-08-27,4178.856784529659,4204.412093714061,4113.6052107914975,4152.854235493223,758241.5137056217,0.0013628221918262,4048.358143414937,4047.992243994525,0.0152145896200934,0.0577406580129526
TCS.NS,2020-08-28,4101.782612274909,4111.450887302603,4056.859137678245,4082.211372800963,2116524.622446435,-0.0170106771599389,4074.0096233657214,4047.992243994525,0.0173186334313431,0.0577406580129526
TCS.NS,2020-08-31,4046.899370892507,4078.3839369117554,3994.0463758779056,4041.4625306087096,1076430.4967025311,-0.00998205101866,4092.072479214576,4047.992243994525,0.0180513598204808,0.0577406580129526
TCS.NS,2020-09-01,4046.5316909703984,4081.163815191556,4033.326342138778,4047.83527352172,2811512.3963520643,0.0015768407760172,4097.696248058743,4047.992243994525,0.0148663709858034,0.0577406580129526
TCS.NS,2020-09-02,4035.00353301685,4063.6721725173616,4003.901640118009,4033.390136430681,699864.4396014041,-0.0035686079385515,4102.771302355015,4047.992243994525,0.0149092552666753,0.0577406580129526
TCS.NS,2020-09-03,4062.4568126101262,4100.119914348406,4052.0681521136335,4087.3479098517823,1237916.3178510575,0.0133777719476575,4102.888691334776,4047.992243994525,0.0130054461055501,0.0577406580129526
TCS.NS,2020-09-04,4064.06593250918,4123.22894491375,4022.709099316176,4080.469583334015,1201621.176202863,-0.0016828336294026,4103.596664163224,4047.992243994525,0.0129735115485307,0.0577406580129526
